#Identifiant;Libellé_du_site;Caractéristique_du_site;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Pays;latitude;longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_de_timbres;Photocopie;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Bornes_de_rechargement_MONEO;Accessibilité_Absence_de_ressaut_de_plus_de_2_cm_de_haut;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilité_Boucle_magnétique_en_état_de_fonctionnement;Accessibilité_Distributeur_de_billets_avec_prise_audio;Accessibilité_Entrée_autonome_en_fauteuil_roulant_possible;Accessibilité_Pas_d_escalier_ou_bandes_de_vigilance_présentes;Accessibilité_Présence_d_un_panneau_prioritaire
07805A;THESEE BP;Bureau de poste;87 RUE NATIONALE;;;41140;THESEE;FRANCE;47.3248;1.3088;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07806A;THORE LA ROCHETTE BP;Bureau de poste;46 RUE DU MARECHAL ROCHAMBEAU;;;41100;THORE LA ROCHETTE;FRANCE;47.7871;0.963693;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07807A;TROO AP;Agence postale commnunale;39 RUE AUGUSTE ARNAULT; ; ;41800;TROO;FRANCE;47.7758;0.794153;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07808A;VALLIERES LES GRANDES AP;Relais poste commerçant;2 ROUTE DE MONTRICHARD; ; ;41400;VALLIERES LES GRANDES;FRANCE;47.421;1.14789;Géocodé au milieu de la rue;0254209485;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07809A;VENDOME;Bureau de poste;47 RUE DU CHANGE;;;41100;VENDOME;FRANCE;47.7935;1.06773;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non
07810A;VERNOU EN SOLOGNE AP;Agence postale commnunale;7 ROUTE DE BEAUGENCY; ; ;41230;VERNOU EN SOLOGNE;FRANCE;47.502;1.67995;Géocodé au milieu de la rue;0254982200;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07811A;LA VILLE AUX CLERCS BP;Bureau de poste;6 RUE DU VIEUX MOULIN;;;41160;LA VILLE AUX CLERCS;FRANCE;47.9196;1.08377;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07812A;VILLEBAROU AP;Agence postale commnunale;9 RUE MAURICE PASQUIER; ; ;41000;VILLEBAROU;FRANCE;;;Non renseigné;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07813A;VILLECHAUVE AP;Agence postale commnunale;LE BOURG; ; ;41310;VILLECHAUVE;FRANCE;47.6497;0.941553;Géocodé au centre de la commune;0254893052;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07814A;VILLEDIEU LE CHATEAU AP;Relais poste commerçant;15 RUE PRINCIPALE;EPICERIE PRES D ICI;;41800;VILLEDIEU LE CHATEAU;FRANCE;47.7202;0.648836;Géocodé au milieu de la rue;0254724636;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07815A;VILLEFRANCHE SUR CHER BP;Bureau de poste;7 RUE EMILE FILLOUX;;;41200;VILLEFRANCHE SUR CHER;FRANCE;47.3017;1.76708;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07816A;VILLENY AP;Relais poste commerçant;GRANDE RUE;GRANDE RUE;;41220;VILLENY;FRANCE;47.6224;1.75147;Géocodé au milieu de la rue;0254837189;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07817A;VILLIERS SUR LOIR BP;Bureau de poste;18 RUE DU 11 NOVEMBRE 1918; ; ;41100;VILLIERS SUR LOIR;FRANCE;47.8066;0.993284;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
07818A;VINEUIL BP;Bureau de poste;15 RUE DES ECOLES; ; ;41350;VINEUIL;FRANCE;47.5858;1.37569;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non
07819A;VOUZON AP;Relais poste commerçant;39 LA GRANDE RUE;BOUCHERIE CHARCUTERIE BESSONNIER;;41600;VOUZON;FRANCE;47.644;2.05826;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07820A;YVOY LE MARRON AP;Relais poste commerçant;9 GRANDE RUE;MAGASIN EUCO; ;41600;YVOY LE MARRON;FRANCE;47.6331;1.85553;Géocodé au milieu de la rue;0254836480;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07823A;BLOIS RIVE GAUCHE;Bureau de poste;34 AVENUE DU PRESIDENT WILSON; ; ;41000;BLOIS;FRANCE;47.5822;1.34204;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Oui
07825A;VINEUIL LES NOELS AP;Agence postale commnunale;108 AVENUE DES NOELS; ; ;41350;VINEUIL;FRANCE;47.6005;1.3961;Géocodé au numéro;0254426040;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07826A;BLOIS LA QUINIERE BP;Bureau de poste;3 RUE DE CHATEAUBRIAND;;;41000;BLOIS;FRANCE;47.5808;1.30753;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui
07827A;ROMORANTIN LES FAVIGNOLLES BP;Bureau de poste;LE CCAL DES FAVIGNOLLES;;;41200;ROMORANTIN LANTHENAY;FRANCE;47.348459;1.749905;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui
07828A;VENDOME LES ROTTES BP;Bureau de poste;AVENUE JEAN MOULIN;;;41100;VENDOME;FRANCE;47.8057;1.05808;Géocodé au milieu d un îlot;3631;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui
07829A;BLOIS LES CORNILLETTES BP;Bureau de poste;27 RUE DU GENERAL DE GALEMBERT;;;41000;BLOIS;FRANCE;47.597733;1.348285;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui
07830A;BLOIS CHATEAU;Bureau de poste;RUE GALLOIS;;;41000;BLOIS;FRANCE;47.587236;1.329871;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Oui
07832A;SAINT ETIENNE LA METARE BP;Bureau de poste;62 BD ALEXANDRE DE FRAISSINETTE;CENTRE COMMERCIAL DE LA METARE 1;;42100;ST ETIENNE;FRANCE;45.4186;4.41879;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui
07833A;AMBIERLE BP;Bureau de poste;LE BOURG; ; ;42820;AMBIERLE;FRANCE;46.1044;3.89459;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07834A;ANDREZIEUX BOUTHEON BP;Bureau de poste;10 RUE FERNAND BONIS; ; ;42160;ANDREZIEUX BOUTHEON;FRANCE;45.5254;4.256;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
07835A;APINAC AP;Agence postale commnunale;LIEU DIT LE BOURG; ; ;42550;APINAC;FRANCE;45.3805;3.99618;Géocodé au centre de la commune;0477502791;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07836A;AVEIZIEUX AP;Agence postale commnunale;LE BOURG; ; ;42330;AVEIZIEUX;FRANCE;45.5649;4.37157;Géocodé au centre de la commune;0477940873;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07837A;BALBIGNY;Bureau de poste;PLACE DE LA LIBERATION;;;42510;BALBIGNY;FRANCE;45.818607;4.184493;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non
07838A;BELLEGARDE EN FOREZ AP;Relais poste commerçant;272 AVENUE DES FARGES;AU PETIT MARCHE; ;42210;BELLEGARDE EN FOREZ;FRANCE;45.6476;4.29711;Géocodé au centre de la commune;0477946514;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07839A;BELLEROCHE AP;Agence postale commnunale;LE BOURG; ; ;42670;BELLEROCHE;FRANCE;46.1681;4.41042;Géocodé au centre de la commune;0474036805;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07840A;BELMONT DE LA LOIRE BP;Bureau de poste;PLACE DU MONUMENT AUX MORTS;;;42670;BELMONT DE LA LOIRE;FRANCE;46.1655;4.34646;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07841A;LE BESSAT AP;Agence postale commnunale;LE BOURG; ; ;42660;LE BESSAT;FRANCE;45.3665;4.51748;Géocodé au centre de la commune;0477518771;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07842A;BOEN;Bureau de poste;7 RUE LOUIS GAUCHON;;;42130;BOEN;FRANCE;45.7458;4.00518;Géocodé au milieu de la rue;3631;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
07843A;BONSON BP;Bureau de poste;PLACE CHARLES DE GAULLE;;;42160;BONSON;FRANCE;45.52348;4.215427;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
07844A;BOURG ARGENTAL BP;Bureau de poste;SQUARE JARROSSON;;;42220;BOURG ARGENTAL;FRANCE;45.2971;4.55996;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
07845A;SAINT ETIENNE HOTEL DE VILLE BP;Bureau de poste;5 PLACE DE L HOTEL DE VILLE; ; ;42000;ST ETIENNE;FRANCE;45.4392;4.38802;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
07846A;BRIENNON AP;Agence postale commnunale;PLACE DES TUILIERS; ; ;42720;BRIENNON;FRANCE;46.1481;4.08533;Géocodé au centre de la commune;0477608010;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07847A;BUSSIERES BP;Bureau de poste;RUE DE LA REPUBLIQUE;;;42510;BUSSIERES;FRANCE;45.836;4.26763;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07848A;CELLIEU AP;Relais poste commerçant;LE BOURG;VIVAL;;42320;CELLIEU;FRANCE;45.523074;4.541237;Géocodé au numéro;0477733698;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07849A;LE CERGNE AP;Agence postale commnunale;LIEU DIT LE BOURG; ; ;42460;LE CERGNE;FRANCE;46.1195;4.30642;Géocodé au centre de la commune;0474893729;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07850A;CHALMAZEL AP;Agence postale commnunale;LIEU DIT LE FOND DU BOURG; ; ;42920;CHALMAZEL;FRANCE;45.7042;3.85156;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07851A;LE CHAMBON FEUGEROLLES;Bureau de poste;4 RUE MICHELET;;;42500;LE CHAMBON FEUGEROLLES;FRANCE;45.397;4.32858;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
07852A;CHAMPDIEU BP;Bureau de poste;RUE DES GAYOTTES;;;42600;CHAMPDIEU;FRANCE;45.6471;4.04762;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
07853A;CHAMPOLY AP;Agence postale commnunale;LIEU DIT LE BOURG; ; ;42430;CHAMPOLY;FRANCE;45.8577;3.83652;Géocodé au centre de la commune;0477650751;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07854A;CHARLIEU;Bureau de poste;6 BOULEVARD JACQUARD;;;42190;CHARLIEU;FRANCE;46.159197;4.173893;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
07855A;CHAVANAY BP;Bureau de poste;GRANDE RUE;;;42410;CHAVANAY;FRANCE;45.413762;4.729689;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
07856A;CHAZELLES SUR LYON BP;Bureau de poste;14 BOULEVARD PERONNET;;;42140;CHAZELLES SUR LYON;FRANCE;45.6366;4.39031;Géocodé au milieu de la rue;3631;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07857A;CHEVRIERES AP;Agence postale commnunale;ROUTE DE ST GALMIER; ; ;42140;CHEVRIERES;FRANCE;45.5883;4.40146;Géocodé au centre de la commune;0477940068;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07858A;CHIRASSIMONT AP;Agence postale commnunale;LIEU DIT LE BOURG; ; ;42114;CHIRASSIMONT;FRANCE;45.9138;4.28526;Géocodé au centre de la commune;0477624331;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07859A;CORDELLE AP;Agence postale commnunale;LE BOURG; ; ;42123;CORDELLE;FRANCE;45.9426;4.06483;Géocodé au centre de la commune;0477649202;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07860A;LE COTEAU;Bureau de poste;119 AVENUE DE LA LIBERATION;;;42120;LE COTEAU;FRANCE;46.0254;4.08649;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
07861A;COTTANCE AP;Agence postale commnunale; ; ; ;42360;COTTANCE;FRANCE;45.7932;4.29811;Géocodé au centre de la commune;0477286311;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07862A;COUTOUVRE BP;Bureau de poste;GRANDE RUE;;;42460;COUTOUVRE;FRANCE;46.0731;4.21103;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
07863A;CREMEAUX AP;Agence postale commnunale;LE BOURG; ; ;42260;CREMEAUX;FRANCE;45.9079;3.92844;Géocodé au centre de la commune;0477625649;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07864A;CUINZIER BP;Bureau de poste;LIEU DIT LE BOURG; ; ;42460;CUINZIER;FRANCE;46.1282;4.26445;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non
07865A;ECOCHE AP;Agence postale commnunale;LE BOURG; ; ;42670;ECOCHE;FRANCE;46.1607;4.29842;Géocodé au centre de la commune;0477633469;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07866A;ESTIVAREILLES AP;Agence postale commnunale;LE BOURG; ; ;42380;ESTIVAREILLES;FRANCE;45.4162;4.00949;Géocodé au centre de la commune;0477502920;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07867A;L ETRAT BP;Bureau de poste;12 RUE DE VERDUN;;;42580;L ETRAT;FRANCE;45.4859;4.37663;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
07868A;FEURS;Bureau de poste;PLACE DE LA BOATERIE;;;42110;FEURS;FRANCE;45.7443;4.22503;Géocodé au milieu de la rue;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui
07869A;FIRMINY;Bureau de poste;12 AVENUE DE LA GARE; ; ;42700;FIRMINY;FRANCE;45.3902;4.28694;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non
07870A;LA FOUILLOUSE BP;Bureau de poste;37 RUE DE LA LIBERATION; ; ;42480;LA FOUILLOUSE;FRANCE;45.5011;4.31676;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07871A;FOURNEAUX  AP;Relais poste commerçant;LE BOURG; ; ;42470;FOURNEAUX;FRANCE;45.9371;4.26787;Géocodé au numéro;0477624231;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07872A;FRAISSES BP;Bureau de poste;1 RUE PASTEUR;;;42490;FRAISSES;FRANCE;45.3873100;4.2682822;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07873A;GRAMMOND AP;Agence postale commnunale;LIEU DIT LE BOURG; ; ;42140;GRAMMOND;FRANCE;45.5648;4.44141;Géocodé au centre de la commune;0477208723;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07874A;LA GRAND CROIX;Bureau de poste;2 T RUE LOUIS PASTEUR;;;42320;LA GRAND CROIX;FRANCE;45.50191;4.567223;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
07875A;LA GRESLE AP;Agence postale commnunale;LIEU DIT LE BOURG; ; ;42460;LA GRESLE;FRANCE;46.0756;4.28185;Géocodé au centre de la commune;0474643583;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07876A;L HOPITAL SOUS ROCHEFORT AP;Agence postale commnunale;LE BOURG; ; ;42130;L HOPITAL SOUS ROCHEFORT;FRANCE;45.7743;3.93278;Géocodé au centre de la commune;0477241443;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07877A;L HORME BP;Bureau de poste;PLACE DU 14 JUILLET; ; ;42152;L HORME;FRANCE;45.4863;4.54601;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07881A;JONZIEUX AP;Agence postale commnunale;RUE DE LA SEMENE; ; ;42660;JONZIEUX;FRANCE;45.313774;4.362001;Géocodé au numéro;0477399582;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07882A;JURE AP;Agence postale commnunale; ; ; ;42430;JURE;FRANCE;45.8837;3.8906;Géocodé au centre de la commune;0477625424;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07883A;LAY AP;Agence postale commnunale;BOURG; ; ;42470;LAY;FRANCE;45.9562;4.21894;Géocodé au centre de la commune;0477647100;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07884A;LENTIGNY BP;Bureau de poste;LE BOURG; ; ;42155;LENTIGNY;FRANCE;45.9945;3.98003;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07886A;LORETTE BP;Bureau de poste;87 RUE JEAN JAURES;;;42420;LORETTE;FRANCE;45.51176;4.579625;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
07887A;MABLY BP;Bureau de poste;7 PLACE DE VERDUN;;;42300;MABLY;FRANCE;46.086998;4.064378;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non
07888A;MACHEZAL AP;Agence postale commnunale;LE BOURG; ; ;42114;MACHEZAL;FRANCE;45.9224;4.30257;Géocodé au numéro;0477624035;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07889A;MACLAS BP;Bureau de poste;107 PLACE LOUIS GAY; ; ;42520;MACLAS;FRANCE;45.3619;4.68482;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07890A;ROANNE FOCH BP;Bureau de poste;61 RUE MARECHAL FOCH;;;42300;ROANNE;FRANCE;46.0367;4.07278;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui
07891A;MALLEVAL AP;Agence postale commnunale;LE BOURG;;;42520;MALLEVAL;FRANCE;45.38522;4.725366;Géocodé au numéro;0474843209;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07892A;MARCILLY LE CHATEL BP;Bureau de poste;LE PAVE;;;42130;MARCILLY LE CHATEL;FRANCE;45.6971;4.0319;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07893A;MARLHES BP;Bureau de poste;3 PLACE MARCELLIN CHAMPAGNAT;;;42660;MARLHES;FRANCE;45.2828;4.39511;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07894A;MONTAGNY AP;Relais poste commerçant;RUE REPUBLIQUE;LE MARCHE MONTAGNARD;;42840;MONTAGNY;FRANCE;46.0338;4.23695;Géocodé au centre de la commune;0477661331;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07895A;MONTBRISON;Bureau de poste;PLACE DES COMTES DU FOREZ;;;42600;MONTBRISON;FRANCE;45.6044;4.06748;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
07896A;MONTCHAL AP;Relais poste commerçant;LE BOURG;MR FAYE COMMERCE MULTI SERVICES; ;42360;MONTCHAL;FRANCE;45.8262;4.31592;Géocodé au centre de la commune;0477285949;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07897A;MONTROND LES BAINS;Bureau de poste;RUE PHILIBERT GARY;;;42210;MONTROND LES BAINS;FRANCE;45.6411;4.23888;Géocodé au centre de la commune;3631;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non
07898A;NERONDE AP;Relais poste commerçant;ROUTE DE BUSSIERES; ; ;42510;NERONDE;FRANCE;45.8382;4.23655;Géocodé au centre de la commune;0477273033;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07899A;NERVIEUX AP;Agence postale commnunale; ; ; ;42510;NERVIEUX;FRANCE;45.8052;4.15601;Géocodé au centre de la commune;0477281892;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07900A;NEULISE BP;Bureau de poste;13 RUE DE LA POSTE; ; ;42590;NEULISE;FRANCE;45.9011;4.18136;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07901A;NOIRETABLE;Bureau de poste;2 RUE DES TILLEULS;;;42440;NOIRETABLE;FRANCE;45.8163;3.76432;Géocodé au milieu de la rue;3631;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
07902A;LA PACAUDIERE BP;Bureau de poste;RTE NATIONALE; ; ;42310;LA PACAUDIERE;FRANCE;46.1761;3.86781;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07903A;PANISSIERES BP;Bureau de poste;RUE JEAN BENOIT GUERPILLON; ; ;42360;PANISSIERES;FRANCE;45.793;4.33773;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
07904A;PELUSSIN;Bureau de poste;22 RUE DES TROIS SAPINS;;;42410;PELUSSIN;FRANCE;45.4186;4.67533;Géocodé au milieu de la rue;3631;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non
07905A;PERIGNEUX AP;Agence postale commnunale;LE BOURG; ; ;42380;PERIGNEUX;FRANCE;45.4448;4.15386;Géocodé au centre de la commune;0477307255;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07906A;PERREUX AP;Relais poste commerçant;LE BOURG;BOULANGERIE LE PARIODIN;;42120;PERREUX;FRANCE;46.04;4.12698;Géocodé au centre de la commune;0477712458;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07907A;PLANFOY AP;Agence postale commnunale;LIEU DIT LE BOURG; ; ;42660;PLANFOY;FRANCE;45.3845;4.43987;Géocodé au centre de la commune;0477514005;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07908A;POUILLY LES FEURS AP;Agence postale commnunale;LIEU DIT LE VIEUX BOURG; ; ;42110;POUILLY LES FEURS;FRANCE;45.79882;4.232005;Géocodé au numéro;0477261431;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
07909A;POUILLY LES NONAINS BP;Bureau de poste;82 ROUTE DE ROANNE;;;42155;POUILLY LES NONAINS;FRANCE;46.038647;3.982286;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07910A;POUILLY SOUS CHARLIEU BP;Bureau de poste;PLACE ENMOND THORAL; ; ;42720;POUILLY SOUS CHARLIEU;FRANCE;46.144578;4.108994;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07911A;REGNY BP;Bureau de poste;PLACE RENARD; ; ;42630;REGNY;FRANCE;45.9914;4.21693;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non
07912A;RENAISON;Bureau de poste;PLACE DU 11 NOVEMBRE;;;42370;RENAISON;FRANCE;46.051575;3.92567;Géocodé au numéro;3631;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non
07913A;LA RICAMARIE BP;Bureau de poste;PLACE RASPAIL; ; ;42150;LA RICAMARIE;FRANCE;45.4021;4.36661;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
07914A;RIORGES;Bureau de poste;628 ALLEE DE LA LIBERATION;;;42153;RIORGES;FRANCE;46.0435;4.04341;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Non
07915A;RIVE DE GIER;Bureau de poste;11 COURS GAMBETTA;;;42800;RIVE DE GIER;FRANCE;45.5298;4.62096;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non
07916A;ROANNE PRINCIPAL;Bureau de poste;3 RUE ALEXANDRE ROCHE;;;42300;ROANNE;FRANCE;46.0406;4.07242;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
