#Identifiant;Libellé_du_site;Caractéristique_du_site;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Pays;latitude;longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_de_timbres;Photocopie;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Bornes_de_rechargement_MONEO;Accessibilité_Absence_de_ressaut_de_plus_de_2_cm_de_haut;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilité_Boucle_magnétique_en_état_de_fonctionnement;Accessibilité_Distributeur_de_billets_avec_prise_audio;Accessibilité_Entrée_autonome_en_fauteuil_roulant_possible;Accessibilité_Pas_d_escalier_ou_bandes_de_vigilance_présentes;Accessibilité_Présence_d_un_panneau_prioritaire
13665A;COULOMBIERS AP;Agence postale commnunale;LE BOURG; ; ;72130;COULOMBIERS;FRANCE;48.2984;0.12699;Géocodé au centre de la commune;0243339813;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13666A;LE MANS LEFEUVRE BP;Bureau de poste;56 AVENUE HENRI LEFEUVRE;;;72100;LE MANS;FRANCE;47.9914;0.194212;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Oui
13667A;CROSMIERES AP;Agence postale commnunale;RUE ANGEVINE; ; ;72200;CROSMIERES;FRANCE;47.746;-0.152062;Géocodé au milieu de la rue;0243458175;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13668A;DISSAY SOUS COURCILLON AP;Agence postale commnunale;AVENUE DU MANS;;;72500;DISSAY SOUS COURCILLON;FRANCE;;;Non renseigné;0243442751;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13670A;DOLLON AP;Agence postale commnunale;PLACE DE L EGLISE; ; ;72390;DOLLON;FRANCE;48.0411;0.584777;Géocodé au centre de la commune;0243715575;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13671A;DOMFRONT EN CHAMPAGNE AP;Agence postale commnunale;RUE PRINCIPALE; ; ;72240;DOMFRONT EN CHAMPAGNE;FRANCE;48.1044;0.026294;Géocodé au centre de la commune;0243285829;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
13674A;ECOMMOY;Bureau de poste;PLACE FOCH;;;72220;ECOMMOY;FRANCE;47.8305;0.273639;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
13675A;ETIVAL LES LE MANS BP;Bureau de poste;12 RUE PRINCIPALE;;;72700;ETIVAL LES LE MANS;FRANCE;47.9562;0.087291;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13676A;LA FERTE BERNARD;Bureau de poste;21 RUE DENFERT ROCHEREAU;;;72400;LA FERTE BERNARD;FRANCE;48.187116;0.653563;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
13677A;FILLE SUR SARTHE AP;Agence postale commnunale;46 RUE DU PASSEUR; ; ;72210;FILLE SUR SARTHE;FRANCE;47.898;0.126464;Géocodé au milieu de la rue;0243871400;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13678A;LA FONTAINE SAINT MARTIN AP;Agence postale commnunale;9 PLACE DE LA MAIRIE; ; ;72330;LA FONTAINE ST MARTIN;FRANCE;47.791;0.049931;Géocodé au milieu de la rue;0243878080;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
13679A;LA FRESNAYE SUR CHEDOUET AP;Agence postale commnunale;16 RUE DE LA FORET DE PERSEIGNE; ; ;72600;LA FRESNAYE SUR CHEDOUET;FRANCE;48.4452;0.255125;Géocodé au milieu de la rue;0243345496;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13680A;FRESNAY SUR SARTHE;Bureau de poste;2 RUE DE L ABBE LELIEVRE;MAISON DE PAYS; ;72130;FRESNAY SUR SARTHE;FRANCE;48.2843;0.024392;Géocodé au milieu de la rue;3631;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non
13681A;FYE AP;Agence postale commnunale;13 GRANDE RUE;MAIRIE; ;72610;FYE;FRANCE;48.3251;0.07967;Géocodé au milieu de la rue;0233268115;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13682A;GESNES LE GANDELIN AP;Agence postale commnunale;20 GRANDE RUE; ; ;72130;GESNES LE GANDELIN;FRANCE;48.3553;0.018839;Géocodé au milieu de la rue;0233268800;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13683A;LE GRAND LUCE;Bureau de poste;2 RUE LEON AUBERT;;;72150;LE GRAND LUCE;FRANCE;47.8661;0.468559;Géocodé au milieu de la rue;3631;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
13684A;GREEZ SUR ROC AP;Agence postale commnunale;PLACE DE L EGLISE; ; ;72320;GREEZ SUR ROC;FRANCE;48.1372;0.796082;Géocodé au milieu de la rue;0243932800;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
13685A;GUECELARD BP;Bureau de poste;47 RUE NATIONALE;;;72230;GUECELARD;FRANCE;47.876188;0.127987;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non
13686A;LA GUIERCHE AP;Agence postale commnunale;7 RUE PRINCIPALE; ; ;72380;LA GUIERCHE;FRANCE;48.12;0.195532;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
